number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,model,params_min_child_samples,params_reg_alpha,params_reg_lambda,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_random_strength,params_C,params_penalty,params_threshold
0,0.6940918097129875,2026-01-10 15:40:37.177762,2026-01-10 15:41:08.995838,0 days 00:00:31.818076,0.6624074561769746,0.2904180608409973,0.1205712628744377,10.0,2.0,144.0,0.8394633936788146,COMPLETE,xgb,,,,,,,,,,,
1,0.6874242519634947,2026-01-10 15:41:08.999841,2026-01-10 15:41:44.503411,0 days 00:00:35.503570,0.9879639408647978,1.0616955533913808,0.11114989443094977,7.0,9.0,267.0,0.608233797718321,COMPLETE,xgb,,,,,,,,,,,
2,0.7036163792360877,2026-01-10 15:41:44.505412,2026-01-10 15:41:58.036992,0 days 00:00:13.531580,0.7727780074568463,3.0592644736118975,0.028145092716060652,4.0,3.0,95.0,0.8099025726528951,COMPLETE,xgb,,,,,,,,,,,
3,0.7061530731556905,2026-01-10 15:41:58.038991,2026-01-10 15:42:12.365545,0 days 00:00:14.326554,0.9140703845572055,2.571172192068058,0.03476649150592621,5.0,2.0,85.0,0.7824279936868144,COMPLETE,xgb,,,,,,,,,,,
4,0.6969855882518919,2026-01-10 15:42:12.368546,2026-01-10 15:42:31.079999,0 days 00:00:18.711453,0.6260206371941118,4.828160165372797,0.07896186801026692,3.0,10.0,198.0,0.6682096494749166,COMPLETE,xgb,,,,,,,,,,,
5,0.7073684760046022,2026-01-10 15:42:31.082998,2026-01-10 15:43:01.227991,0 days 00:00:30.144993,0.7760609974958406,2.475884550556351,0.013940346079873234,5.0,2.0,252.0,0.8736932106048627,COMPLETE,xgb,,,,,,,,,,,
6,0.7122546629457306,2026-01-10 15:43:01.229988,2026-01-10 15:43:23.796495,0 days 00:00:22.566507,0.7246844304357644,2.7335513967163982,0.024112898115291985,10.0,6.0,58.0,0.8650089137415928,COMPLETE,xgb,,,,,,,,,,,
7,0.6930747155890246,2026-01-10 15:43:23.801503,2026-01-10 15:43:52.504520,0 days 00:00:28.703017,0.9579309401710595,4.609371175115584,0.13962563737015762,10.0,6.0,96.0,0.9757995766256756,COMPLETE,xgb,,,,,,,,,,,
8,0.6597889586704139,2026-01-10 15:43:52.511520,2026-01-10 15:44:06.466446,0 days 00:00:13.954926,0.7554709158757928,4.143687545759647,0.011662890273931383,4.0,3.0,72.0,0.7301321323053057,COMPLETE,xgb,,,,,,,,,,,
9,0.696766596111056,2026-01-10 15:44:06.468445,2026-01-10 15:44:24.554625,0 days 00:00:18.086180,0.9208787923016158,4.9344346830025865,0.06333268775321843,5.0,1.0,139.0,0.6563696899899051,COMPLETE,xgb,,,,,,,,,,,
